SA3_Code,Population_2024,Sum_of_Area,Avg_Pop_Density
12501,113554,32.9,3451.489362
12502,78354,25.7,3048.793774
12503,172650,57.2,3018.356643
12504,162662,47.1,3453.545648
12601,57379,22.2,2584.63964
12602,158204,47.2,3351.779661
12701,170887,291.5,586.2332762
12702,198113,123.7,1601.560226
12703,147623,125.2,1179.097444
12801,123132,55.7,2210.628366
12802,114213,240.2,475.4912573
